    Year (Census)
    Proportion of populations extant, SE
    Proportion of populations going extinct for the first time in year, SE
    Deterministic growth, Stochastic growth, SE, SD
    Mean population size (across extant populations), SE, SD
    Mean population size (across all populations), SE, SD
    Population-based model: No genetic data (12 skipped fields)



    Mean time to extinction, SE, SD
    Median time to extinction
Year;PExtant;SE(PExtant);PExtinct;SE(PExtinct);det-r;stoch-r;SE(r);SD(r);N-extant;SE(N-extant);SD(N-extant);N-all;SE(N-all);SD(N-all);GeneDiv;SE(GD);SD(GD);Inbreed;SE(Inbr);SD(Inbr);nAlleles;SE(nAlleles);SD(nAlleles);nLethals;SE(nLethals);SD(nLethals);TE;SE(TE);SD(TE);medianTE
Default Scenario
Population 1: Population1
0; 1.0000; 0.0000; 0.0000; 0.0000; 0.3140;      0;      0;      0; 117768.00; 0.00; 0.00; 117768.00; 0.00; 0.00; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
1; 1.0000; 0.0000; 0.0000; 0.0000; 0.3140; 0.3084; 0.0016; 0.1153; 117171.22; 162.04; 11457.63; 117171.22; 162.04; 11457.63; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
2; 1.0000; 0.0000; 0.0000; 0.0000; 0.3140; -0.0103; 0.0023; 0.1619; 106540.79; 204.57; 14465.58; 106540.79; 204.57; 14465.58; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
3; 1.0000; 0.0000; 0.0000; 0.0000; 0.3140; -0.0556; 0.0027; 0.1877; 97032.26; 273.10; 19310.74; 97032.26; 273.10; 19310.74; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
4; 0.9956; 0.0009; 0.0044; 0.0009; 0.3140; -0.1195; 0.0037; 0.2637; 87095.52; 356.93; 25183.36; 86712.30; 364.59; 25780.75; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 4.00; 0.00; 0.00; 0
5; 0.9648; 0.0026; 0.0308; 0.0024; 0.3140; -0.2182; 0.0060; 0.4174; 77073.74; 435.37; 30238.89; 74360.74; 465.61; 32923.83; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 4.88; 0.03; 0.33; 0
6; 0.8664; 0.0048; 0.0984; 0.0042; 0.3140; -0.3003; 0.0079; 0.5168; 70374.95; 496.91; 32705.54; 60972.86; 547.74; 38731.20; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 5.70; 0.02; 0.52; 0
7; 0.7322; 0.0063; 0.1342; 0.0048; 0.3140; -0.3814; 0.0100; 0.6060; 64897.02; 559.84; 33873.70; 47517.60; 577.25; 40817.63; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 6.35; 0.02; 0.75; 0
8; 0.5798; 0.0070; 0.1524; 0.0051; 0.3140; -0.4279; 0.0123; 0.6634; 61978.46; 639.33; 34423.05; 35935.11; 569.74; 40286.35; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 6.95; 0.02; 0.99; 0
9; 0.4424; 0.0070; 0.1374; 0.0049; 0.3140; -0.4673; 0.0156; 0.7355; 60464.26; 739.37; 34774.06; 26749.39; 536.07; 37905.98; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 7.46; 0.02; 1.23; 9
10; 0.3288; 0.0066; 0.1136; 0.0045; 0.3140; -0.4519; 0.0164; 0.6631; 59964.43; 848.66; 34410.17; 19716.31; 486.39; 34392.78; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 7.89; 0.03; 1.47; 9
