    Year (Census)
    Proportion of populations extant, SE
    Proportion of populations going extinct for the first time in year, SE
    Deterministic growth, Stochastic growth, SE, SD
    Mean population size (across extant populations), SE, SD
    Mean population size (across all populations), SE, SD
    Population-based model: No genetic data (12 skipped fields)



    Mean time to extinction, SE, SD
    Median time to extinction
Year;PExtant;SE(PExtant);PExtinct;SE(PExtinct);det-r;stoch-r;SE(r);SD(r);N-extant;SE(N-extant);SD(N-extant);N-all;SE(N-all);SD(N-all);GeneDiv;SE(GD);SD(GD);Inbreed;SE(Inbr);SD(Inbr);nAlleles;SE(nAlleles);SD(nAlleles);nLethals;SE(nLethals);SD(nLethals);TE;SE(TE);SD(TE);medianTE
Default Scenario
Population 1: Population1
0; 1.0000; 0.0000; 0.0000; 0.0000; 0.2787;      0;      0;      0; 103324.00; 0.00; 0.00; 103324.00; 0.00; 0.00; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
1; 1.0000; 0.0000; 0.0000; 0.0000; 0.2787; 0.2742; 0.0011; 0.0791; 103144.76; 144.26; 10200.38; 103144.76; 144.26; 10200.38; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
2; 1.0000; 0.0000; 0.0000; 0.0000; 0.2787; 0.0801; 0.0014; 0.1003; 98556.15; 145.69; 10301.49; 98556.15; 145.69; 10301.49; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
3; 1.0000; 0.0000; 0.0000; 0.0000; 0.2787; -0.0192; 0.0015; 0.1039; 92064.54; 164.93; 11662.17; 92064.54; 164.93; 11662.17; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
4; 1.0000; 0.0000; 0.0000; 0.0000; 0.2787; -0.0006; 0.0015; 0.1079; 88803.55; 194.08; 13723.66; 88803.55; 194.08; 13723.66; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
5; 1.0000; 0.0000; 0.0000; 0.0000; 0.2787; -0.0425; 0.0019; 0.1318; 83534.44; 233.01; 16476.47; 83534.44; 233.01; 16476.47; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
6; 0.9990; 0.0004; 0.0010; 0.0004; 0.2787; -0.0686; 0.0026; 0.1813; 78452.97; 286.03; 20215.51; 78374.52; 287.89; 20357.02; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 6.00; 0.00; 0.00; 0
7; 0.9936; 0.0011; 0.0054; 0.0010; 0.2787; -0.1353; 0.0043; 0.3017; 72264.44; 344.36; 24271.53; 71801.95; 351.72; 24870.68; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 6.84; 0.07; 0.37; 0
8; 0.9660; 0.0026; 0.0276; 0.0023; 0.2787; -0.1953; 0.0057; 0.3936; 66763.52; 388.87; 27025.56; 64493.56; 412.79; 29188.53; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 7.78; 0.04; 0.48; 0
9; 0.9160; 0.0039; 0.0500; 0.0031; 0.2787; -0.2713; 0.0071; 0.4786; 61575.53; 430.08; 29106.18; 56403.19; 462.12; 32677.03; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 8.51; 0.03; 0.67; 0
10; 0.8348; 0.0053; 0.0812; 0.0039; 0.2787; -0.3265; 0.0088; 0.5686; 58104.97; 467.15; 30181.22; 48506.03; 495.20; 35015.62; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 9.24; 0.03; 0.89; 0
