    Year (Census)
    Proportion of populations extant, SE
    Proportion of populations going extinct for the first time in year, SE
    Deterministic growth, Stochastic growth, SE, SD
    Mean population size (across extant populations), SE, SD
    Mean population size (across all populations), SE, SD
    Population-based model: No genetic data (12 skipped fields)



    Mean time to extinction, SE, SD
    Median time to extinction
Year;PExtant;SE(PExtant);PExtinct;SE(PExtinct);det-r;stoch-r;SE(r);SD(r);N-extant;SE(N-extant);SD(N-extant);N-all;SE(N-all);SD(N-all);GeneDiv;SE(GD);SD(GD);Inbreed;SE(Inbr);SD(Inbr);nAlleles;SE(nAlleles);SD(nAlleles);nLethals;SE(nLethals);SD(nLethals);TE;SE(TE);SD(TE);medianTE
Default Scenario
Population 1: Population1
0; 1.0000; 0.0000; 0.0000; 0.0000; 0.4623;      0;      0;      0; 19614.00; 0.00; 0.00; 19614.00; 0.00; 0.00; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
1; 1.0000; 0.0000; 0.0000; 0.0000; 0.4623; 0.4569; 0.0014; 0.0977; 19565.83; 27.60; 1951.37; 19565.83; 27.60; 1951.37; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
2; 1.0000; 0.0000; 0.0000; 0.0000; 0.4623; 0.4560; 0.0014; 0.0984; 19607.73; 27.78; 1964.48; 19607.73; 27.78; 1964.48; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
3; 1.0000; 0.0000; 0.0000; 0.0000; 0.4623; 0.4566; 0.0014; 0.1010; 19588.76; 27.65; 1955.39; 19588.76; 27.65; 1955.39; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
4; 1.0000; 0.0000; 0.0000; 0.0000; 0.4623; 0.4546; 0.0014; 0.0978; 19606.56; 26.77; 1893.15; 19606.56; 26.77; 1893.15; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
5; 1.0000; 0.0000; 0.0000; 0.0000; 0.4623; 0.4578; 0.0014; 0.0989; 19653.71; 27.73; 1960.77; 19653.71; 27.73; 1960.77; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
6; 1.0000; 0.0000; 0.0000; 0.0000; 0.4623; 0.4562; 0.0014; 0.1016; 19603.37; 27.57; 1949.57; 19603.37; 27.57; 1949.57; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
7; 1.0000; 0.0000; 0.0000; 0.0000; 0.4623; 0.4568; 0.0014; 0.0993; 19601.33; 27.66; 1955.74; 19601.33; 27.66; 1955.74; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
8; 1.0000; 0.0000; 0.0000; 0.0000; 0.4623; 0.4561; 0.0014; 0.0994; 19567.96; 27.14; 1918.93; 19567.96; 27.14; 1918.93; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
9; 1.0000; 0.0000; 0.0000; 0.0000; 0.4623; 0.4586; 0.0014; 0.0982; 19622.14; 27.58; 1950.42; 19622.14; 27.58; 1950.42; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
10; 1.0000; 0.0000; 0.0000; 0.0000; 0.4623; 0.4569; 0.0014; 0.0981; 19550.32; 27.06; 1913.51; 19550.32; 27.06; 1913.51; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
